uuid,date,Energia
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T08:45:00.000Z,2.641
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T09:00:00.000Z,2.995
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T09:15:00.000Z,3.214
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T09:30:00.000Z,3.413
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T09:45:00.000Z,3.755
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T10:00:00.000Z,3.756
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T10:15:00.000Z,3.757
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T10:30:00.000Z,3.759
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T10:45:00.000Z,3.76
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T11:00:00.000Z,3.761
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T11:15:00.000Z,3.762
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T11:30:00.000Z,3.764
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T11:45:00.000Z,3.765
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T12:00:00.000Z,3.766
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T12:15:00.000Z,3.767
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T12:30:00.000Z,3.768
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T12:45:00.000Z,3.77
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T13:00:00.000Z,3.771
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T13:15:00.000Z,3.772
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T13:30:00.000Z,3.773
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T13:45:00.000Z,3.774
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T14:00:00.000Z,3.775
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T14:15:00.000Z,3.776
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T14:30:00.000Z,3.776
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T14:45:00.000Z,3.777
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-15T15:00:00.000Z,3.777
